Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell	gene_id
PB.3.1196	0	0	1	0	0	0	3	0	gene-GAMMAHV.ORF66
PB.3.1197	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF67
PB.3.1198	0	0	4	0	0	0	0	1	gene-GAMMAHV.ORF67
PB.3.1199	0	0	0	0	0	4	1	1	novelGene_8
PB.3.12	0	0	0	0	0	1	2	0	gene-GAMMAHV.M2
PB.3.120	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1200	0	0	4	0	0	1	4	0	gene-GAMMAHV.ORF67
PB.3.1201	0	0	9	0	0	9	8	9	gene-GAMMAHV.ORF66
PB.3.1202	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF67
PB.3.1203	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF67
PB.3.1204	0	0	3	0	0	0	0	0	gene-GAMMAHV.ORF66
PB.3.1205	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1206	0	0	0	0	0	2	1	0	gene-GAMMAHV.ORF66
PB.3.1207	0	0	1	0	0	3	0	0	novelGene_30
PB.3.1208	0	0	1	0	0	2	2	1	gene-GAMMAHV.ORF67
PB.3.1209	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF66
PB.3.121	0	0	0	0	0	2	0	0	gene-GAMMAHV.M3
PB.3.1210	0	0	24	0	0	18	25	15	novelGene_gene-MuHV4gp63_AS
PB.3.1211	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF66
PB.3.1212	0	0	3	0	0	0	0	0	novelGene_9
PB.3.1213	0	0	3	0	0	0	3	2	gene-GAMMAHV.ORF67
PB.3.1214	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF67
PB.3.1215	0	0	3	0	0	0	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.1216	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF66
PB.3.1217	0	0	1	0	0	2	0	4	gene-GAMMAHV.ORF66
PB.3.1218	0	0	3	0	0	0	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1219	0	0	0	0	0	0	0	3	gene-GAMMAHV.ORF67
PB.3.122	0	0	0	0	0	3	0	0	gene-GAMMAHV.M3
PB.3.1220	0	0	4	0	0	0	0	0	gene-GAMMAHV.ORF67
PB.3.1221	0	0	13	0	0	6	8	3	novelGene_gene-MuHV4gp63_AS
PB.3.1222	0	0	4	0	0	0	3	1	novelGene_10
PB.3.1223	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF67
PB.3.1224	0	0	0	0	0	0	1	1	novelGene_31
PB.3.1225	0	0	1	0	0	2	2	0	gene-GAMMAHV.ORF67
PB.3.1226	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1227	0	0	2	0	0	0	0	1	novelGene_32
PB.3.1228	0	0	0	0	0	1	1	0	novelGene_33
PB.3.1229	0	0	0	0	0	2	0	0	novelGene_34
PB.3.123	0	0	0	0	0	0	2	0	gene-MuHV4gp50_gene-GAMMAHV.M3
PB.3.1230	0	0	0	0	0	0	0	2	novelGene_gene-MuHV4gp63_AS
PB.3.1231	0	0	4	0	0	1	1	2	novelGene_gene-MuHV4gp63_AS
PB.3.1232	0	0	0	0	0	1	1	3	gene-GAMMAHV.ORF67
PB.3.1233	0	0	16	0	0	4	10	5	novelGene_13
PB.3.1234	0	0	2	0	0	1	1	8	gene-GAMMAHV.ORF66
PB.3.1235	0	0	8	0	0	5	3	1	gene-GAMMAHV.ORF67
PB.3.1236	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF66
PB.3.1237	0	0	33	0	0	6	7	5	novelGene_gene-MuHV4gp63_AS
PB.3.1238	0	0	0	0	0	1	2	0	gene-GAMMAHV.ORF67
PB.3.1239	0	0	2	0	0	0	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.124	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1240	0	0	3	0	0	2	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1241	0	0	0	0	0	1	1	1	novelGene_35
PB.3.1242	0	0	0	0	0	2	0	0	novelGene_36
PB.3.1243	0	0	1	0	0	0	0	1	novelGene_gene-MuHV4gp63_AS
PB.3.1244	0	0	2	0	0	1	0	0	novelGene_37
PB.3.1245	0	0	1	0	0	2	2	1	novelGene_38
PB.3.1246	0	0	1	0	0	1	0	1	gene-GAMMAHV.ORF67
PB.3.1247	0	0	0	0	0	2	0	0	novelGene_39
PB.3.1248	0	0	2	0	0	0	0	0	novelGene_40
PB.3.1249	0	0	0	0	0	0	2	2	gene-GAMMAHV.ORF67
PB.3.125	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1250	0	0	0	0	0	1	2	0	gene-GAMMAHV.ORF67
PB.3.1251	0	0	5	0	0	3	4	2	novelGene_gene-MuHV4gp63_AS
PB.3.1252	0	0	0	0	0	0	3	0	gene-GAMMAHV.ORF67
PB.3.1253	0	0	1	0	0	0	2	0	gene-GAMMAHV.ORF67
PB.3.1254	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF67
PB.3.1255	0	0	0	0	0	0	0	2	novelGene_41
PB.3.1256	0	0	3	0	0	0	2	0	novelGene_42
PB.3.1257	0	0	3	0	0	0	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1258	0	0	0	0	0	2	3	0	novelGene_11
PB.3.1259	0	0	1	0	0	0	2	0	gene-GAMMAHV.ORF67
PB.3.126	0	0	2	0	0	0	0	0	gene-GAMMAHV.M3
PB.3.1260	0	0	2	0	0	1	2	0	gene-GAMMAHV.ORF66
PB.3.1261	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF67
PB.3.1262	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF67
PB.3.1263	0	0	5	0	0	0	2	1	novelGene_43
PB.3.1264	0	0	9	0	0	2	3	0	novelGene_gene-MuHV4gp63_AS
PB.3.1265	0	0	1	0	0	1	4	1	novelGene_44
PB.3.1266	0	0	1	0	0	1	1	1	novelGene_45
PB.3.1267	0	0	1	0	0	1	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1268	0	0	0	0	0	0	0	3	novelGene_46
PB.3.1269	0	0	6	0	0	1	1	0	novelGene_47
PB.3.127	0	0	0	0	0	2	3	1	gene-GAMMAHV.M3
PB.3.1270	0	0	0	0	0	0	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.1271	0	0	2	0	0	2	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.1272	0	0	1	0	0	0	0	1	novelGene_gene-MuHV4gp63_AS
PB.3.1273	0	0	2	0	0	0	0	0	novelGene_48
PB.3.1274	0	0	2	0	0	4	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1275	0	0	1	0	0	1	1	0	novelGene_gene-MuHV4gp63_AS
PB.3.1276	0	0	1	0	0	1	1	0	novelGene_14
PB.3.1277	0	0	1	0	0	0	0	1	novelGene_49
PB.3.1278	0	0	1	0	0	0	0	1	novelGene_50
PB.3.1279	0	0	1	0	0	0	1	0	novelGene_gene-MuHV4gp63_AS
PB.3.128	0	0	2	0	0	7	1	0	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1280	0	0	1	0	0	0	1	0	novelGene_gene-GAMMAHV.ORF63_AS
PB.3.1281	0	0	0	0	0	0	1	1	novelGene_12
PB.3.1282	0	0	2	0	0	1	0	3	novelGene_gene-MuHV4gp63_AS
PB.3.1283	0	0	2	0	0	0	0	0	novelGene_51
PB.3.1284	0	0	1	0	0	0	1	1	novelGene_gene-MuHV4gp63_AS
PB.3.1285	0	0	0	0	0	1	0	1	novelGene_52
PB.3.1286	0	0	2	0	0	0	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1287	0	0	2	0	0	6	0	2	novelGene_gene-MuHV4gp63_AS
PB.3.1288	0	0	1	0	0	0	0	1	novelGene_53
PB.3.1289	0	0	0	0	0	0	1	1	novelGene_gene-MuHV4gp63_AS
PB.3.129	0	0	0	0	0	1	3	0	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1290	0	0	0	0	0	1	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.1291	0	0	0	0	0	0	1	1	novelGene_gene-MuHV4gp63_AS
PB.3.1292	0	0	7	0	0	1	0	0	gene-GAMMAHV.ORF67
PB.3.1293	0	0	4	0	0	8	7	4	novelGene_gene-MuHV4gp63_AS
PB.3.1294	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF66
PB.3.1295	0	0	1	0	0	0	0	1	novelGene_gene-MuHV4gp63_AS
PB.3.1296	0	0	1	0	0	0	1	1	novelGene_gene-MuHV4gp63_AS
PB.3.1297	0	0	3	0	0	1	0	1	novelGene_gene-MuHV4gp63_AS
PB.3.1298	0	0	0	0	0	2	0	0	novelGene_15
PB.3.1299	0	0	1	0	0	1	1	0	novelGene_16
PB.3.13	0	0	3	0	0	0	1	1	gene-GAMMAHV.M2_gene-GAMMAHV.ORF53
PB.3.130	0	0	0	0	0	2	0	0	gene-MuHV4gp60_gene-GAMMAHV.M3_gene-GAMMAHV.ORF62
PB.3.1300	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF66
PB.3.1301	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF66
PB.3.1302	0	0	0	0	0	0	2	0	novelGene_58
PB.3.1303	0	0	0	0	0	2	2	0	gene-GAMMAHV.ORF67
PB.3.1304	0	0	2	0	0	2	2	0	gene-GAMMAHV.ORF67
PB.3.1305	0	0	2	0	0	0	2	0	gene-GAMMAHV.ORF67
PB.3.1306	0	0	1	0	0	0	6	2	novelGene_59
PB.3.1307	0	0	0	0	0	1	3	1	gene-GAMMAHV.ORF67
PB.3.1308	0	0	1	0	0	0	3	2	novelGene_gene-MuHV4gp63_AS
PB.3.1309	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF66
PB.3.131	0	0	1	0	0	2	1	1	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1310	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF66
PB.3.1311	0	0	1	0	0	0	2	0	novelGene_60
PB.3.1312	0	0	3	0	0	1	3	2	novelGene_61
PB.3.1313	0	0	1	0	0	1	2	1	gene-GAMMAHV.ORF66
PB.3.1314	0	0	0	0	0	1	1	0	novelGene_62
PB.3.1315	0	0	10	0	0	11	11	7	gene-GAMMAHV.ORF66
PB.3.1316	0	0	3	0	0	2	0	0	novelGene_63
PB.3.1317	0	0	0	0	0	2	0	0	novelGene_64
PB.3.1318	0	0	4	0	0	1	2	0	gene-GAMMAHV.ORF67
PB.3.1319	0	0	19	0	0	27	35	9	novelGene_65
PB.3.132	0	0	0	0	0	3	0	0	gene-MuHV4gp60_gene-GAMMAHV.M3_gene-GAMMAHV.ORF59_gene-GAMMAHV.ORF60
PB.3.1320	0	0	2	0	0	0	0	0	novelGene_66
PB.3.1321	0	0	16	0	0	8	13	5	novelGene_gene-MuHV4gp63_AS
PB.3.1322	0	0	16	0	0	7	14	11	novelGene_gene-MuHV4gp63_AS
PB.3.1323	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF67
PB.3.1324	0	0	1	0	0	0	2	2	gene-GAMMAHV.ORF67
PB.3.1325	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF67
PB.3.1326	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF67
PB.3.1327	0	0	14	0	0	15	15	12	novelGene_54
PB.3.1328	0	0	9	0	0	4	4	6	novelGene_gene-MuHV4gp63_AS
PB.3.1329	0	0	3	0	0	2	1	3	novelGene_gene-MuHV4gp63_AS
PB.3.133	0	0	0	0	0	1	1	1	gene-GAMMAHV.M3
PB.3.1330	0	0	1	0	0	3	2	1	gene-GAMMAHV.ORF67
PB.3.1331	0	0	6	0	0	1	1	0	novelGene_67
PB.3.1332	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF67
PB.3.1333	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF67
PB.3.1334	0	0	0	0	0	3	1	0	gene-GAMMAHV.ORF66
PB.3.1335	0	0	2	0	0	1	2	2	novelGene_68
PB.3.1336	0	0	0	0	0	1	1	0	novelGene_69
PB.3.1337	0	0	3	0	0	2	2	0	gene-GAMMAHV.ORF67
PB.3.1338	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF67
PB.3.1339	0	0	3	0	0	3	8	1	gene-GAMMAHV.ORF66
PB.3.134	0	0	3	0	0	1	2	1	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1340	0	0	2	0	0	0	2	0	gene-GAMMAHV.ORF67
PB.3.1341	0	0	1	0	0	1	1	1	novelGene_gene-MuHV4gp63_AS
PB.3.1342	0	0	7	0	0	0	0	0	novelGene_70
PB.3.1343	0	0	4	0	0	0	0	0	novelGene_71
PB.3.1344	0	0	1	0	0	0	1	0	novelGene_72
PB.3.1345	0	0	12	0	0	2	2	3	novelGene_gene-MuHV4gp63_AS
PB.3.1346	0	0	2	0	0	0	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1347	0	0	3	0	0	0	1	0	gene-GAMMAHV.ORF67
PB.3.1348	0	0	1	0	0	2	2	0	novelGene_73
PB.3.1349	0	0	2	0	0	1	1	1	gene-GAMMAHV.ORF67
PB.3.135	0	0	5	0	0	6	4	2	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1350	0	0	3	0	0	1	2	0	novelGene_74
PB.3.1351	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1352	0	0	2	0	0	0	1	1	novelGene_75
PB.3.1353	0	0	18	0	0	0	1	3	novelGene_gene-MuHV4gp63_AS
PB.3.1354	0	0	0	0	0	1	0	2	gene-GAMMAHV.ORF66
PB.3.1355	0	0	0	0	0	0	1	1	novelGene_76
PB.3.1356	0	0	1	0	0	3	3	0	gene-GAMMAHV.ORF67
PB.3.1357	0	0	3	0	0	1	7	2	gene-GAMMAHV.ORF67
PB.3.1358	0	0	1	0	0	0	0	1	novelGene_gene-MuHV4gp63_AS
PB.3.1359	0	0	3	0	0	4	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.136	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF59_gene-GAMMAHV.M3
PB.3.1360	0	0	4	0	0	1	0	0	gene-GAMMAHV.ORF66
PB.3.1361	0	0	7	0	0	5	10	3	gene-GAMMAHV.ORF67
PB.3.1362	0	0	13	0	0	3	4	4	gene-GAMMAHV.ORF67
PB.3.1363	0	0	1	0	0	1	0	0	novelGene_77
PB.3.1364	0	0	2	0	0	1	1	0	novelGene_78
PB.3.1365	0	0	2	0	0	0	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.1366	0	0	0	0	0	3	0	0	novelGene_79
PB.3.1367	0	0	1	0	0	1	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.1368	0	0	2	0	0	1	3	1	gene-GAMMAHV.ORF67
PB.3.1369	0	0	0	0	0	1	1	0	novelGene_80
PB.3.137	0	0	2	0	0	1	0	0	gene-MuHV4gp60_gene-GAMMAHV.M3_gene-GAMMAHV.ORF60
PB.3.1370	0	0	3	0	0	2	0	0	gene-GAMMAHV.ORF67
PB.3.1371	0	0	0	0	0	1	1	0	novelGene_81
PB.3.1372	0	0	12	0	0	7	9	3	novelGene_82
PB.3.1373	0	0	0	0	0	3	1	2	novelGene_83
PB.3.1374	0	0	1	0	0	1	0	0	novelGene_84
PB.3.1375	0	0	6	0	0	0	0	1	novelGene_85
PB.3.1376	0	0	0	0	0	0	3	0	novelGene_86
PB.3.1377	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF67
PB.3.1378	0	0	0	0	0	0	0	4	gene-GAMMAHV.ORF67
PB.3.1379	0	0	3	0	0	2	2	2	novelGene_gene-MuHV4gp63_AS
PB.3.138	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1380	0	0	2	0	0	1	1	0	novelGene_gene-MuHV4gp63_AS
PB.3.1381	0	0	7	0	0	13	7	3	novelGene_87
PB.3.1382	0	0	1	0	0	1	1	0	gene-GAMMAHV.ORF67
PB.3.1383	0	0	3	0	0	0	1	0	novelGene_88
PB.3.1384	0	0	0	0	0	2	3	1	gene-GAMMAHV.ORF67
PB.3.1385	0	0	19	0	0	18	18	4	novelGene_gene-MuHV4gp63_AS
PB.3.1386	0	0	1	0	0	0	1	0	novelGene_89
PB.3.1387	0	0	2	0	0	1	1	0	gene-GAMMAHV.ORF67
PB.3.1388	0	0	3	0	0	1	0	0	gene-GAMMAHV.ORF66
PB.3.1389	0	0	14	0	0	8	3	4	novelGene_55
PB.3.139	0	0	2	0	0	2	2	0	gene-GAMMAHV.ORF67_gene-GAMMAHV.M3
PB.3.1390	0	0	0	0	0	4	0	0	novelGene_56
PB.3.1391	0	0	2	0	0	0	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1392	0	0	6	0	0	0	2	0	novelGene_gene-MuHV4gp63_AS
PB.3.1393	0	0	0	0	0	1	1	0	novelGene_57
PB.3.1394	0	0	15	0	0	13	9	4	novelGene_gene-MuHV4gp63_AS
PB.3.1395	0	0	1	0	0	1	0	0	novelGene_90
PB.3.1396	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF67
PB.3.1397	0	0	0	0	0	0	1	1	novelGene_95
PB.3.1398	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF67
PB.3.1399	0	0	1	0	0	1	0	0	novelGene_96
PB.3.14	0	0	0	0	0	1	1	0	gene-GAMMAHV.M2_gene-GAMMAHV.ORF66
PB.3.140	0	0	0	0	0	0	2	1	gene-MuHV4gp43_gene-GAMMAHV.M3
PB.3.1400	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1401	0	0	0	0	0	0	2	1	gene-GAMMAHV.ORF66
PB.3.1402	0	0	0	0	0	1	1	0	novelGene_97
PB.3.1403	0	0	0	0	0	0	1	1	novelGene_92
PB.3.1404	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF66
PB.3.1405	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF67
PB.3.1406	0	0	2	0	0	2	0	0	novelGene_94
PB.3.1407	0	0	0	0	0	1	2	0	novelGene_98
PB.3.1408	0	0	2	0	0	0	0	1	gene-GAMMAHV.ORF66
PB.3.1409	0	0	3	0	0	0	0	0	gene-GAMMAHV.ORF67
PB.3.141	0	0	2	0	0	0	1	0	gene-GAMMAHV.M3
PB.3.1410	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF67
PB.3.1411	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF67
PB.3.1412	0	0	1	0	0	1	0	0	novelGene_93
PB.3.1413	0	0	0	0	0	2	0	0	novelGene_gene-MuHV4gp63_AS
PB.3.1414	0	0	1	0	0	1	4	0	novelGene_99
PB.3.1415	0	0	1	0	0	0	2	0	novelGene_91
PB.3.1416	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF67
PB.3.1417	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF67
PB.3.1418	0	0	1	0	0	1	0	0	novelGene_100
PB.3.1419	0	0	2	0	0	0	0	0	novelGene_101
PB.3.142	0	0	1	0	0	0	0	1	gene-GAMMAHV.M3_gene-MuHV4gp64
PB.3.1420	0	0	1	0	0	1	1	0	novelGene_102
PB.3.1421	0	0	0	0	0	1	2	0	novelGene_103
PB.3.1422	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF67
PB.3.1423	0	0	0	0	0	1	4	0	novelGene_104
PB.3.1424	0	0	1	0	0	2	0	1	gene-GAMMAHV.ORF67
PB.3.1425	0	0	0	0	0	1	3	0	novelGene_105
PB.3.1426	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF67
PB.3.1427	0	0	16	0	0	5	10	3	gene-GAMMAHV.ORF66
PB.3.1428	0	0	1	0	0	1	0	1	novelGene_gene-MuHV4gp63_AS
PB.3.1429	0	0	2	0	0	0	0	0	novelGene_106
PB.3.143	0	0	1	0	0	1	1	0	gene-GAMMAHV.M3
PB.3.1430	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF66
PB.3.1431	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1432	0	0	0	0	0	1	2	2	gene-GAMMAHV.ORF66
PB.3.1433	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1434	0	0	1	0	0	0	0	3	gene-GAMMAHV.ORF66
PB.3.1435	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF66
PB.3.1436	0	0	1	0	0	0	2	1	gene-GAMMAHV.ORF66
PB.3.1437	0	0	0	0	0	2	3	1	gene-GAMMAHV.ORF66
PB.3.1438	0	0	1	0	0	2	1	1	gene-GAMMAHV.ORF66
PB.3.1439	0	0	1	0	0	0	1	0	gene-GAMMAHV.ORF66
PB.3.144	0	0	0	0	0	3	0	0	gene-GAMMAHV.M3
PB.3.1440	0	0	1	0	0	2	0	1	gene-GAMMAHV.ORF66
PB.3.1441	0	0	1	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1442	0	0	2	0	0	0	2	1	gene-GAMMAHV.ORF66
PB.3.1443	0	0	3	0	0	0	0	1	gene-GAMMAHV.ORF66
PB.3.1444	0	0	2	0	0	3	3	1	gene-GAMMAHV.ORF66
PB.3.1445	0	0	1	0	0	0	1	0	gene-GAMMAHV.ORF66
PB.3.1446	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1447	0	0	1	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1448	0	0	3	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1449	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.145	0	0	0	0	0	1	0	1	gene-GAMMAHV.M3
PB.3.1450	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF66
PB.3.1451	0	0	0	0	0	1	1	1	gene-GAMMAHV.ORF66
PB.3.1452	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1453	0	0	2	0	0	2	1	1	gene-GAMMAHV.ORF66
PB.3.1454	0	0	1	0	0	4	0	1	gene-GAMMAHV.ORF66
PB.3.1455	0	0	1	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1456	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1457	0	2	354911	1	0	369391	403369	214425	gene-GAMMAHV.ORF66
PB.3.1458	0	0	1	0	0	0	1	0	gene-GAMMAHV.ORF66
PB.3.1459	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF66
PB.3.146	0	0	0	0	0	1	1	0	gene-GAMMAHV.M3
PB.3.1460	0	0	0	0	0	3	0	0	gene-GAMMAHV.ORF66
PB.3.1461	0	0	1	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1462	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF66
PB.3.1463	0	0	2	0	0	0	1	0	gene-GAMMAHV.ORF66
PB.3.1464	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1465	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF66
PB.3.1466	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF66
PB.3.1467	0	0	0	0	0	1	2	0	gene-GAMMAHV.ORF66
PB.3.1468	0	0	11	0	0	9	22	5	gene-GAMMAHV.ORF66
PB.3.1469	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF66
PB.3.147	0	0	0	0	0	12	6	1	gene-GAMMAHV.M3
PB.3.1470	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1471	0	0	0	0	0	2	2	1	gene-GAMMAHV.ORF66
PB.3.1472	0	0	3	0	0	4	4	1	gene-GAMMAHV.ORF66
PB.3.1473	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF66
PB.3.1474	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF66
PB.3.1475	0	0	0	0	0	1	2	0	gene-GAMMAHV.ORF66
PB.3.1476	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1477	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1478	0	0	2	0	0	0	0	1	gene-GAMMAHV.ORF66
PB.3.1479	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.148	0	0	2	0	0	0	1	0	gene-GAMMAHV.M3
PB.3.1480	0	0	2	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1481	0	0	33	0	0	26	19	15	gene-GAMMAHV.ORF66
PB.3.1482	0	0	1	0	0	1	5	2	gene-GAMMAHV.ORF66
PB.3.1483	0	0	0	0	0	3	0	0	gene-GAMMAHV.ORF66
PB.3.1484	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF66
PB.3.1485	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1486	0	0	1	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1487	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1488	0	0	0	0	0	2	2	1	gene-GAMMAHV.ORF66
PB.3.1489	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF66
PB.3.149	0	0	1	0	0	2	3	1	gene-GAMMAHV.M3
PB.3.1490	0	0	1	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1491	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.1492	0	0	1	0	0	2	2	0	gene-GAMMAHV.ORF66
PB.3.1493	0	0	2	0	0	0	0	1	gene-GAMMAHV.ORF66
PB.3.1494	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF66
PB.3.1495	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1496	0	0	1	0	0	1	0	3	gene-GAMMAHV.ORF66
PB.3.1497	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF66
PB.3.1498	0	0	2	0	0	1	2	1	gene-GAMMAHV.ORF66
PB.3.1499	0	0	1	0	0	1	0	1	gene-GAMMAHV.ORF66
PB.3.15	0	0	5	0	0	6	9	1	gene-GAMMAHV.M2_gene-GAMMAHV.ORF66
PB.3.150	0	0	1	0	0	1	4	0	gene-GAMMAHV.M3
PB.3.1500	0	0	4	0	0	1	4	0	gene-GAMMAHV.ORF66
PB.3.1501	0	0	4	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1502	0	0	229	0	0	79	82	74	gene-GAMMAHV.ORF66
PB.3.1503	0	0	5	0	0	2	2	0	gene-GAMMAHV.ORF66
PB.3.1504	0	0	1	0	0	0	1	1	gene-GAMMAHV.ORF66
PB.3.1505	0	0	69	0	0	30	42	20	gene-GAMMAHV.ORF66
PB.3.1506	0	0	3	0	0	2	0	0	gene-GAMMAHV.ORF66
PB.3.1507	0	0	6	0	0	3	3	1	gene-GAMMAHV.ORF66
PB.3.1508	0	0	6	0	0	6	2	1	gene-GAMMAHV.ORF66
PB.3.1509	0	0	288	0	0	260	250	120	gene-GAMMAHV.ORF66
PB.3.151	0	0	3	0	0	18	18	3	gene-GAMMAHV.M3
PB.3.1510	0	0	2	0	0	1	4	1	gene-GAMMAHV.ORF66
PB.3.1511	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF66
PB.3.1512	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF67_gene-MuHV4gp64
